elapsed_sec,scan_rate_hz,tf_p99_ms,odom_integrated_m,bumper_total,cmd_vel_stale
5.3,5.0,1787879695990.15,0.0,0,0
10.2,5.0,1787879699994.52,0.0,0,0
15.2,5.0,1787879703831.27,0.0,0,0
20.2,5.0,1787879707984.03,0.0,0,0
25.2,5.0,1787879712060.21,0.0,0,0
30.2,5.0,1787879716322.1,0.0,0,0
35.2,5.0,1787879720456.29,0.0,0,0
40.2,5.0,1787879724425.31,0.0,0,0
45.3,5.0,1787879729001.77,0.0,0,0
50.2,5.0,1787879733280.46,0.0,0,0
55.2,5.0,1787879737375.98,0.0,0,0
60.2,5.0,1787879741166.23,0.0,0,0
65.2,5.0,1787879745432.92,0.0,0,0
70.2,5.0,1787879749110.73,0.0,0,0
75.4,5.0,1787879753317.45,0.0,0,0
80.5,5.0,1787879757587.7,0.0,0,0
85.3,5.0,1787879761850.65,0.0,0,0
90.2,5.0,1787879765827.73,0.0,0,0
95.2,5.0,1787879769967.94,0.0,0,0
100.4,5.0,1787879774147.56,0.0,0,0
105.2,5.0,1787879778291.04,0.0,0,0
110.2,5.0,1787879782449.72,0.0,0,0
115.3,5.0,1787879786365.23,0.0,0,0
120.2,5.0,1787879790508.74,0.0,0,0
125.2,5.0,1787879794698.46,0.0,0,0
130.2,5.0,1787879798850.27,0.0,0,0
135.2,5.0,1787879803003.81,0.0,0,0
140.2,5.0,1787879807043.2,0.0,0,0
145.2,5.0,1787879810431.9,0.0,0,0
150.2,5.0,1787879815599.25,0.0,0,0
5.8,5.0,1787879817003.22,0.0,0,0
155.2,5.0,1787879819767.14,0.0,0,0
10.8,5.0,1787879821061.22,0.0,0,0
160.2,5.0,1787879823728.6,0.0,0,0
15.8,5.0,1787879825435.57,0.0,0,0
165.3,5.0,1787879828023.87,0.0,0,0
20.9,5.0,1787879829273.73,0.0,0,0
25.8,5.0,1787879833651.39,0.0,0,0
170.2,5.0,1787879832346.43,0.0,0,0
175.4,5.0,1787879836559.14,0.0,0,0
30.8,5.0,1787879837751.68,0.0,0,0
35.9,5.0,1787879842092.69,0.0,0,0
180.3,5.0,1787879840403.04,0.0,0,0
40.8,5.0,1787879845741.73,0.0,0,0
185.3,5.0,1787879844080.94,0.0,0,0
190.4,5.0,1787879847219.27,0.0,0,0
46.6,5.0,1787879850255.51,0.0,0,0
50.8,5.0,1787879855565.59,0.0,0,0
195.3,5.0,1787879848858.96,0.0,0,0
200.2,5.0,1787879857849.02,0.0,0,0
55.8,5.0,1787879859999.37,0.0,0,0
